Name,Number of titles in library
"Herbert, Frank",22
"Herbert, Frank & Herbert, Brian",1
"Herbert, Frank & Ransom, Bill ",1
"Herbert, James",1
"Herzog, Arthur",1
"Hesky, Olga",1
"Hesse, Hermann",1
"High, Philip E.",5
"Hill, Douglas",2
"Hill, Douglas (ed.)",1
"Hill, Reginald",1
"Hillerman, Tony",1
"Hinchcliffe, Philip",3
"Hinz, Christopher",2
"Hitchcock, Alfred",3
"Hjortsberg, William",1
"Hobb, Robin",13
"Hoch, Edward D.",1
"Hodder-Williams, Christopher",2
"Hodgell, Patricia C.",1
"Hodgson, William Hope",2
"Hoffman, Lee",1
"Hoffman, Nina Kiriki",1
"Hogan, James P.",7
"Holder, Nancy",1
"Holdstock, Robert",8
"Holland, Cecelia",1
"Hollander, Lee M. (trans.)",1
"Holly, J. Hunter",2
"Holt, Conrad G.",1
"Holt, Tom",20
"Honeycombe, Gordon",1
"Hopen, Stuart",1
"Hoskins, Robert (ed.)",2
"Household, Geoffrey",2
"Howard, Ivan (ed.)",5
"Howard, Jonathan L",1
"Howard, Robert E.",4
"Howard, Robert E. & De Camp, L. Sprague",3
"Howard, Robert E. & De Camp, L. Sprague (ed.)",1
"Howard, Robert E. etc.",1
"Hoyle, Fred",3
"Hoyle, Fred & Elliot, John",1
"Hoyle, Fred & Hoyle, Geoffrey",5
"Hoyle, Fred & Wickramasinghe, Chandra",1
"Hoyle, Trevor",2
"Hubbard, L. Ron",3
"Hughart, Barry",1
"Hughes, Denis",1
"Hughes, Robert Don",2
"Hulke, Malcolm",3
"Hunt, Gill",1
"Hunter, Mollie",1
"Huntley, Tim",1
"Huxley, Aldous",2
"Hyne, C. J. Cutliffe",1
"Ings, Simon",2
"Jackson, Robert (ed.)",1
"Jackson, Steve",5
"Jackson, Steve & Livingstone, Ian",2
"Jacques, Brian",7
"Jahn, Mike",2
"Jakes, John",8
"Jakober, Marie",1
"Jakobsson, Ejler",2
"Jakubowski, Maxim (ed.)",1
"James, John",1
"James, Laurence",2
"James, Montague Rhodes",1
"Jameson, Malcolm",1
"Janifer, Laurence M.",4
"Janifer, Laurence M. (ed.)",1
"Jarrett, David",1
"Javor, F. A.",1
"Jeapes, Ben",1
"Jemisin, N. K.",2
"Jeppson, J. O.",1
"Jeter, K. W.",3
"Jeunet, Jean-Pierre & Caro, Marc",1
"Johns, Captain W. E.",1
"Johnson, Kij & Cox, Greg",1
"Johnston, Antony",1
"Jones, D. F.",4
"Jones, Diana Wynne",36
"Jones, Duncan",1
"Jones, Gwyneth A.",4
"Jones, H. Spencer",1
"Jones, Julie Victoria",4
"Jones, Langdon",2
"Jones, Neil R.",5
"Jones, Raymond F.",6
"Jones, Terry",1
"Joon-ho, Bong",1
"Jordan, Robert",15
"Jordan, Robert and Sanderson, Brandon",3
"Jorgensen, Ivar",2
"Joyce, Graham",3
"Judd, Cyril",2
"Juster, Norton",1
"Kagan, Janet",1
"Kapp, Colin",11
"Karig, Walter",1
"Karp, David",1
"Karr, Phyllis Ann",1
"Kavan, Anna",1
"Kaveney, Roz Ed ",1
"Kay, Guy Gavriel",10
"Kellerman, Jonathan",1
"Kelley, Leo P.",5
"Kelly, Richard",2
"Kendall, Carol",1
"Keneally, Thomas",1
"Kern, Gregory",6
"Kerr, Katharine",8
"Keyes, Daniel",1
"Keyes, Noel",1
"Keyhoe, Donald E.",1
"Kilian, Crawford",1
"Killough, Lee",2
"Kilworth, Garry",3
"King, Stephen",29
"King, Stephen & Straub, Peter ",1
"King, Vincent",3
"Kinsella, Thomas (trans.)",1
"Kipling, Rudyard",2
"Kirk, Richard",1
"Klass, Judy",1
"Klein, Gerard",1
"Klein, T. E. D.",1
"Kline, Otis Adelbert",1
"Kneale, Nigel",1
"Knight, Damon",21
"Knight, Damon (ed.)",18
"Kolosimo, Peter",1
"Koontz, Dean",6
"Koontz, Dean & Gorman, Ed",1
"Kornbluth, C. M.",6
"Kornbluth, Mary (ed.)",1
"Kostova, Elizabeth",1
"Kotzwinkle, William",1
"Kraspedon, Dino",1
"Krauss, Lawrence M.",1
"Kress, Nancy",2
"Kring, Michael",1
"Kube-McDowell, Michael P.",1
"Kunuk, Zacharias",1
"Kurland, Michael",2
"Kurtz, Katherine",13
"Kurtz, Katherine & Kaluta, Michael William",1
"Kurtz, Katherine & MacMillan, Scott",1
"Kurtén, Björn",1
"Kushner, Ellen",1
"Kuttner, Henry",7
"Kyle, David A.",1
"Kyogoku, Natsuhiko",1
"L'Engle, Madeleine",7
"Lackey, Mercedes",2
"Lackey, Mercedes & Dixon, Larry ",1
"Lafferty, R.A.",8
"Lampoon, Harvard",1
"Landy, Derek",3
"Lane, Andy",2
"Lane, Andy (Ed.)",1
"Langart, Darrel T.",1
"Langford, David",4
"Langford, David & Grant, John",1
"Lansdale, Joe R.",1
"Laski, Marganita",1
"Lau, Miller",2
"Laumer, Keith",39
"Laumer, Keith & Brown, Rosel George",1
"Lawhead, Steve",13
"Lawrence, H.L.",1
"Le Guin, Ursula K.",29
"Lebaron, Anthony",1
"Lee, Edna",1
"Lee, Elizabeth (Ed.)",1
"Lee, Tanith",25
"Lee, Vernon",1
"Leiber, Fritz",17
"Leiber, Justin",1
"Leinster, Murray",11
"Lem, Stanislaw",10
"Lem, Stanislaw & Kandel, Michael ",1
"Leonard, Paul",1
"Lerman, Rhoda",1
"Leslie, Desmond",1
"Leslie, Peter",1
"Lesser, Milton",1
"Lessing, Doris May",4
"Lethem, Jonathan",2
"Letts, Barry",1
"Levene, Malcolm",1
"Levene, Philip",1
"Levin, Ira",2
"Levy, Roger",2
"Lewis, C. S.",10
"Lewis, C.S.",1
"Lewis, Richard",1
"Lewis, Roy",1
"Lieber, Fritz",12
"Lieberman, Herbert",1
"Lindholm, Megan",3
"Lindsay, David",1
"Lindsay, Douglas (ed.)",1
"Lindskold, Jane",4
"Livesey, Eric M.",1
"Livingstone, Ian",3
"Llewellyn, Alun",1
"Logan, Charles",1
"Long, Frank Belknap",9
"Longyear, Barry B.",2
"Lorrah, Jean",3
"Lory, Robert",1
"Lott, S. Makepeace",1
"Louvish, Simon",1
"Lovecraft, H. P.",21
"Lovegrove, James",4
"Lovesey, Andrew",1
"Low, A.M.",1
"Luceno, James ",1
"Ludlam, Harry",1
"Lumley, Brian",1
"Lundwall, Sam J.",1
"Lupoff, Richard A.",5
"Lymington, John",9
"Lynn, Elizabeth A.",7
"Lyons, Steve",2
"MacApp, C.C.",2
"MacAvoy, R. A.",11
"MacDonald, George",3
"MacDonald, John D.",1
"MacLeod, Ken",10
"MacLeod, Sheila",1
"Macardle, Dorothy",1
"Mackleworth, R.W,",2
"Magnusson, Magnus",1
"Magrs, Paul",1
"Magrs, Paul & Hoad, Jeremy ",1
"Maguire, Gregory",1
"Mahr, Kurt",1
"Mahr, Kurt & Shols, W. W.",1
Main Author,1
"Maine, Charles Eric",3
"Malzberg, Barry N.",2
"Mancour, T. L.",1
"Mann, George",2
"Mannheim, Karl",2
"Manning, Matthew",1
"Marcus, Ben",1
"Marguiles, Leo",4
"Marillier, Juliet",1
"Markham, Robert",1
"Marshak, Sondra",1
"Marshak, Sondra & Culbreath, Myrna",2
"Marsters, James ",1
"Marter, Ian",4
"Martin, George R. R.",10
"Martin, Graham Dunstan",1
"Masefield, John",2
"Mason, Douglas R.",2
"Masson, David I.",1
"Masterton, Graham",1
"Matheson, Richard",8
"Matthews, Rodney",1
"Maxwell, Ann",1
"Maxwell, John C.",1
"May, Jonathan",1
"May, Julian",10
"McAuley, Paul J.",11
"McCaffrey, Anne",24
"McCammon, Robert R.",1
"McCarthy, Wil",1
"McCauley, Kirby",1
"McCay, Bill & Flood, Eloise",1
"McConnell, Ashley",1
"McConnell, Brian",1
"McCormack, Una",5
"McCormack, Una & Jarman, Heather ",1
"McCrumb, Sharyn",1
"McCullough, Colleen",1
"McDaniel, David",1
"McDevitt, Jack",1
"McDonald, Ian",5
"McGirt, Dan",1
"McGuire, Bill",1
"McHugh, Maureen F.",2
"McIntosh, J.T.",5
"McIntyre, Vonda N.",8
"McIntyre, Vonda N.; Brooks, Terry & Bennett, Harve",1
"McKenna, Juliet E.",2
"McKenna, Richard",1
"McKillip, Patricia A.",5
"McKinley, Robin",1
"McLaughlin, Dean",2
"McLoughlin, John C.",1
"McMullen, Sean",1
"Mccaffrey, Anne & Scarborough, Elizabeth Anne",2
"Mead, Harold",1
"Mead, Shepherd",1
"Meaney, John",3
"Medaris, J.B.",1
"Meluch, R. M.",1
"Mendelsohn, Felix Jr.",1
"Menzies, William Cameron",1
"Merak, A.J.",1
"Meredith, Richard C.",1
"Merril, Judith (ed.)",15
"Merritt, Abraham",1
"Merwin Jr., Sam",1
"Messingham, Simon",1
"Meyers, Roy",1
"Meynard, Yves",1
"Miall, Robert",1
"Middleton, Richard",1
"Millard, Joseph",1
