The High King,"Alexander, Lloyd",1968,?,Main Collection,,-,-,,ALEX1/2-5,Prydain Chronicles 5,,ALEX1,2,5,,,A,,y,y,y,y,-,y,y
The Rings of Saturn,"Asimov, Isaac",1958,340491116,Main Collection,,-,-,,ASIM1/4-6,Lucky Starr 6,,ASIM1,4,6,,,A,,y,y,y,y,y,y,y
Sky Lord,"Allen, Martin",1988,140326014,Main Collection,,CYO Adventure,-,,ALLE1/1,-,,ALLE1,1,,,,A,,y,y,y,y,y,y,
The High Crusade,"Anderson, Poul",1960,?,Main Collection,,(*dup?),-,,ANDE4/12b,-,,ANDE4,12,,b,,A,,y,y,y,y,-,y,??
Gamblers with Fate,"Allan, Doug",1945,?,Main Collection,,-,-,,ALLA1/1,-,,ALLA1,1,,,,A,,y,y,y,y,-,y,y
The Complete Robot,"Asimov, Isaac",1982,9.78059E+12,Main Collection,,(*dup?),-,,ASIM1/2-4a,Robots 4,,ASIM1,2,4,a,,A,,y,y,y,y,y,y,
The Gyrth Chalice Mystery,"Allingham, Margery",1931,?,Main Collection,,-,-,,ALLI1/5,-,,ALLI1,5,,,,A,,y,y,y,y,-,y,y
Death of a Ghost,"Allingham, Margery",1934,?,Main Collection,,-,-,,ALLI1/8,-,,ALLI1,8,,,,A,,y,y,y,y,-,y,y
Dead Ground,"Amies, Chris",2001,9.7819E+12,Main Collection,,-,-,,AMIE1/1,-,,AMIE1,1,,,,A,,y,y,y,y,y,y,y
The Alteration,"Amis, Kingsley",1976,9.78014E+12,Main Collection,,-,-,,AMIS1/3a,-,,AMIS1,3,,a,,A,,y,y,y,y,y,y,y
The Alteration,"Amis, Kingsley",1976,?,Main Collection,,-,-,,AMIS1/3b,-,,AMIS1,3,,b,,A,,y,y,y,y,-,y,y
Dark Side of the Sun,"Anastasio, Dina",1996,9.78006E+12,Main Collection,,-,-,,ANAS1/3,-,,ANAS1,3,,,,A,,y,y,y,y,y,y,y
Magellan,"Anderson, Colin",1970,722111525,Main Collection,,-,-,,ANDE1/1,-,,ANDE1,1,,,,A,,y,y,y,y,y,y,y
Captain Nemo,"Anderson, Kevin J.",2002,743444094,Main Collection,,-,-,,ANDE2/15,-,,ANDE2,15,,,,A,,y,y,y,y,y,y,y
Hidden Empire,"Anderson, Kevin J.",2003,9.78074E+12,Main Collection,,-,-,,ANDE2/14-1,Seven Suns 1,,ANDE2,14,1,,,A,,y,y,y,y,y,y,y
Horizon Storms,"Anderson, Kevin J.",2004,9.78074E+12,Main Collection,,-,-,,ANDE2/14-3,Seven Suns 3,,ANDE2,14,3,,,A,,y,y,y,y,y,y,y
Ignition,"Anderson, Kevin J. & Beason, Doug ",1996,9.78034E+12,Main Collection,,-,-,,ANDE2/11,-,,ANDE2,11,,,,A,,y,y,y,y,y,y,y
God of a Thousand Faces,"Anderson, Michael Falconer",1987,9.78185E+12,Main Collection,,-,-,,ANDE3/3,-,,ANDE3,3,,,,A,,y,y,y,y,y,y,y
The Broken Sword,"Anderson, Poul",1954,722111576,Main Collection,,-,-,,ANDE4/2,-,,ANDE4,2,,,,A,,y,y,y,y,y,y,y
