Double or Nothing: Double Helix #5,"David, Peter",2000,0671034782,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
The Disinherited,"David, Peter",2000,0671779583,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
The Rift,"David, Peter",1991,0671747967,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Doctor Who and the Tenth Planet,"Davis, Gerry",1976,0426110684,Tie-In Novels,,-,-,,t/DAVI6/,,DAVI6,,,,D,,,,,,y,,,,,
Doctor Who: And the Tomb of the Cybermen,"Davis, Gerry",1978,0426110765,Tie-In Novels,,-,-,,t/DAVI6/,,DAVI6,,,,D,,,,,,y,,,,,
Doctor Who and the Cybermen,"Davis, Gerry",1974,0426105753,Tie-In Novels,,-,-,,t/DAVI6/,,DAVI6,,,,D,,,,,,y,,,,,
The final nexus,"DeWeese, Gene",1988,0671660187,Tie-In Novels,,-,-,,t/DEWE1/,,DEWE1,,,,D,,,,,,y,,,,,
The Peacekeepers,"DeWeese, Gene",1988,9781852860707,Tie-In Novels,,-,-,,t/DEWE1/,,DEWE1,,,,D,,,,,,y,,,,,
Chain of Attack,"DeWeese, Gene",2000,0671666584,Tie-In Novels,,-,-,,t/DEWE1/,,DEWE1,,,,D,,,,,,y,,,,,
Doctor Who #053: And the Robots of Death,"Dicks, Terrance",1979,0426200616,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who #053: And the Robots of Death,"Dicks, Terrance",1979,0426200616,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Day of the Daleks,"Dicks, Terrance",1974,0426103807,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who #051: And the Revenge of Cybermen,"Dicks, Terrance",1976,042610997x,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and Planets of the Daleks,"Dicks, Terrance",1976,0426112520,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Loch Ness Monster,"Dicks, Terrance",1976,0426110412,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Web of Fear,"Dicks, Terrance",1976,0426110846,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Dr Who and the Genesis of Daleks,"Dicks, Terrance",1976,0426112601,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor who: The Dalek Invasion of Earth,"Dicks, Terrance",1977,042611244x,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who #20: Death to Daleks,"Dicks, Terrance",1978,042620042x,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Horror of Fang Rock,"Dicks, Terrance",1978,0426200098,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
